instance_key,k,m0_db_cost,m0_energy,m1_db_cost,m1_energy,m2_db_cost,m2_energy
TREE_graph__60relations__0,5,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,10084890.452400666,9031775799779701207327383807902237238839703767733006792842053619747255750572936480109616468852736,10042454.42550061,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,4530334.697403973
TREE_graph__60relations__8,1,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,10445126.058500227,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,10445126.058500227,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,4581143.090998749
TREE_graph__60relations__8,2,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,10445126.058500227,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,10445126.058500227,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,4581143.090998749
TREE_graph__60relations__8,3,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,10445126.058500227,11171618531065564867163982423966129983887270303357167328096052746818284529165271040,10432162.083300188,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,4581143.090998749
TREE_graph__60relations__8,4,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,10445126.058500227,11171618531065564867163982423966129983887270303357167328096052746818284529165271040,10430680.375800181,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,4581143.090998749
TREE_graph__60relations__8,5,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,10445126.058500227,11171618531065564867163982423966129983887270303357167328096052746818284529165271040,10427162.750700219,2108579596400681914368934154443529360025635994595000794816831510881529081866568876363200526540897554938408514332131328,4581143.090998749
TREE_graph__60relations__25,1,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,11010005.223900435,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,11010005.223900435,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,4495290.357699228
TREE_graph__60relations__25,2,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,11010005.223900435,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,11009182.680900397,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,4495290.357699228
TREE_graph__60relations__25,3,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,11010005.223900435,3174223088427610611645135722144693896597780106377740210142320954133402070352780394446444974476760802285639268049070373605396513015463936,10941661.128600387,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,4495290.357699228
TREE_graph__60relations__25,4,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,11010005.223900435,199673266643785959035738822094512041235059756149789261678319553372848079363628034497072381576327971423512979828961436676128768,10913660.615700409,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,4495290.357699228
TREE_graph__60relations__25,5,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,11010005.223900435,199673266643785959035738822094512041235059756149789261678319553372848079363628034497072381576327971423512979828961436676128768,10913660.615700409,436710042299972672772626529074765015899129918071977775589118543910767757326226385386460859122474779258590324125835362041856,4495290.357699228
TREE_graph__60relations__13,1,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,10538569.722999828,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,10538569.722999828,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,4582069.062299641
TREE_graph__60relations__13,2,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,10538569.722999828,57653215688939442175317825451234233775369895580518033835479717092953316527456912163777906301357610361673082887386697826304,10408050.889099961,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,4582069.062299641
TREE_graph__60relations__13,3,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,10538569.722999828,57653215688939442175317825451234233775369895580518033835479717092953316527456912163777906301357610361673082887386697826304,10408050.889099961,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,4582069.062299641
TREE_graph__60relations__13,4,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,10538569.722999828,1492958556760971279149828310769844765146643239289334001404948861447482713785892498164394445065315189000093471928938921984,10368424.006799938,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,4582069.062299641
TREE_graph__60relations__13,5,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,10538569.722999828,1492958556760971279149828310769844765146643239289334001404948861447482713785892498164394445065315189000093471928938921984,10368275.206399828,3585759171946701166518686194124847052977618838141358351589142953152251947076016828238494943832300754421558542336,4582069.062299641
TREE_graph__60relations__31,1,6786874966188114917280677168031771382250918910100888811791769384536274588135474385135531561149058638176386069570977061889114112,10850056.894900495,6786874966188114917280677168031771382250918910100888811791769384536274588135474385135531561149058638176386069570977061889114112,10850056.894900495,6786874966188114917280677168031771382250918910100888811791769384536274588135474385135531561149058638176386069570977061889114112,4572424.587200574
TREE_graph__60relations__31,2,6786874966188114917280677168031771382250918910100888811791769384536274588135474385135531561149058638176386069570977061889114112,10850056.894900495,67210726533722031264697544049555157790953371574831823147616557399243009667350907430794074622623804817408,10749987.550500369,6786874966188114917280677168031771382250918910100888811791769384536274588135474385135531561149058638176386069570977061889114112,4572424.587200574
TREE_graph__60relations__31,3,6786874966188114917280677168031771382250918910100888811791769384536274588135474385135531561149058638176386069570977061889114112,10850056.894900495,67210726533722031264697544049555157790953371574831823147616557399243009667350907430794074622623804817408,10748075.497000366,6786874966188114917280677168031771382250918910100888811791769384536274588135474385135531561149058638176386069570977061889114112,4572424.587200574
